MSN,YYYYMM,Value,Column_Order,Description,Unit
NUCASUS,198208,59.9,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198209,60.6,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198210,53.7,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198211,53.8,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198212,54.6,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198213,56.6,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198301,56.6,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198302,55.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198303,53.9,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198304,52.1,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198305,49.5,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198306,54.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198307,56.2,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198308,57.3,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198309,55.8,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198310,55.1,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198311,55.3,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198312,56.5,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198313,54.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198401,62.5,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198402,64.8,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198403,57.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198404,51.7,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198405,53.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198406,53.1,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198407,57.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198408,58.8,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198409,60,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198410,48.6,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198411,49,5,"Nuclear Generating Units, Capacity Factor",Percent
