MSN,YYYYMM,Value,Column_Order,Description,Unit
NUETPUS,198007,21024,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198008,24333,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198009,23572,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198010,24510,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198011,20984,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198012,22130,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198013,251116,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198101,23779,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198102,21595,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198103,22004,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198104,20646,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198105,19723,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198106,21166,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198107,23080,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198108,26946,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198109,24398,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198110,20556,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198111,22783,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198112,25997,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198113,272674,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198201,25678,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198202,20188,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198203,22755,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198204,21785,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198205,21639,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198206,24026,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198207,25467,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198208,24986,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198209,25391,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198210,23248,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198211,23235,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198212,24376,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198213,282773,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198301,25073,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198302,22198,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198303,23890,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198304,22335,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198305,22051,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198306,24152,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198307,25602,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198308,26201,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198309,25007,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198310,25797,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198311,25010,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198312,26361,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198313,293677,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198401,29313,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198402,28436,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198403,27345,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198404,24231,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198405,25867,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198406,25299,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198407,28284,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198408,29493,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198409,29146,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198410,24774,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198411,24575,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198412,30872,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198413,327634,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198501,36186,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198502,30812,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198503,31041,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198504,26458,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198505,28697,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198506,30837,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198507,35184,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198508,34812,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198509,34508,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198510,31205,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198511,30166,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198512,33782,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198513,383691,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198601,36219,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198602,32721,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198603,30773,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198604,30477,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198605,31924,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198606,31334,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198607,35894,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198608,37483,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198609,36593,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198610,36214,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198611,34944,3,Nuclear Electricity Net Generation,Million Kilowatthours
NUETPUS,198612,39463,3,Nuclear Electricity Net Generation,Million Kilowatthours
