MSN,YYYYMM,Value,Column_Order,Description,Unit
NUETSUS,198004,11.1,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198005,10.4,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198006,9.7,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198007,9.7,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198008,11.3,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198009,12.3,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198010,13.7,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198011,11.7,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198012,11.3,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198013,11,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198101,11.5,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198102,12,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198103,11.8,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198104,11.9,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198105,11.1,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198106,10.4,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198107,10.5,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198108,12.8,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198109,13,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198110,11.3,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198111,13,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198112,13.3,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198113,11.9,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198201,12.2,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198202,11.2,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198203,12.1,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198204,12.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198205,12.2,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198206,12.9,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198207,12.1,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198208,12.1,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198209,14,4,Nuclear Share of Electricity Net Generation,Percent
