MSN,YYYYMM,Value,Column_Order,Description,Unit
NUGBPUS,198402,63.009,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198403,64.057,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198404,65.157,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198405,65.157,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198406,66.207,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198407,66.207,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198408,67.446,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198409,67.446,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198410,68.566,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198411,69.652,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198412,69.652,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198413,69.652,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198501,70.675,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198502,71.795,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198503,72.899,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198504,72.899,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198505,72.899,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198506,75.275,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198507,76.354,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198508,78.478,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198509,78.478,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198510,78.478,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198511,79.397,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198512,79.397,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198513,79.397,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198601,80.604,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198602,80.604,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198603,80.604,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198604,81.863,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198605,82.995,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198606,82.995,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198607,84.048,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198608,84.048,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198609,84.048,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
NUGBPUS,198610,84.048,2,"Nuclear Generating Units, Net Summer Capacity",Million Kilowatts
